ID,HomoA,LumoA,GapA,HomoAH,LumoAH,GapAH,HomoAH2,LumoAH2,GapAH2,SMILES,redoxpot1,redoxpot2
038,-6.6917,-3.4808,3.2109,-6.4634,-3.3886,3.0748,-5.7440,0.2697,6.0136,C1=C(C(=O)C(=C(C1=O)O)O)O,0.6669,1.1390
037,-7.0738,-3.5636,3.5102,-6.5962,-3.4670,3.1293,-5.9834,-0.0786,5.9048,C1=CC(=O)C(=C(C1=O)O)O,1.0340,1.1394
041,-6.9072,-3.6963,3.2109,-6.9413,-3.7031,3.2381,-6.2890,-1.1733,5.1157,C1=C(C(=O)C=C(C1=O)S)S,0.7212,1.3015
040,-6.6898,-3.7238,2.9660,-6.4414,-3.6114,2.8299,-6.0370,-0.7037,5.3334,C1=CC(=O)C(=C(C1=O)S)S,0.8651,1.2984
044,-6.3995,-3.8144,2.5850,-6.3826,-3.7159,2.6667,-6.2634,-1.4199,4.8436,C1(=C(C(=O)C(=C(C1=O)S)S)S)S,0.7075,1.1152
042,-6.9108,-3.7543,3.1565,-6.4920,-3.6076,2.8844,-6.0689,-0.8988,5.1701,C1(=CC(=O)C=C(C1=O)S)S,0.9931,1.1145
043,-6.6033,-3.7733,2.8299,-6.2362,-3.6512,2.5850,-6.1440,-1.1099,5.0340,C1(=CC(=O)C(=C(C1=O)S)S)S,0.8841,1.1153
045,-7.6262,-3.4629,4.1633,-7.1448,-3.3625,3.7823,-5.8863,-0.2264,5.6599,C1=CC(=O)C(=C(C1=O)C)C,0.7823,1.3607
046,-7.7715,-3.4721,4.2993,-7.2670,-3.4030,3.8640,-5.8806,-0.1390,5.7415,C1=C(C(=O)C(=CC1=O)C)C,0.7250,1.4001
047,-7.7644,-3.4650,4.2993,-7.2550,-3.3638,3.8912,-5.8632,-0.1488,5.7143,C1(=CC(=O)C(=CC1=O)C)C,0.7605,1.3488
048,-7.4493,-3.3676,4.0816,-6.9652,-3.2645,3.7007,-5.8172,-0.1029,5.7143,C1(=CC(=O)C(=C(C1=O)C)C)C,0.7255,1.2744
050,-7.7878,-3.7878,4.0000,-7.5905,-3.7265,3.8640,-6.2193,-1.0220,5.1973,C1(=CC(=O)C=C(C1=O)[SiH3])[SiH3],0.9655,1.3467
049,-7.2585,-3.2585,4.0000,-6.7559,-3.1913,3.5646,-5.7238,0.0177,5.7415,C1(=C(C(=O)C(=C(C1=O)C)C)C)C,0.6195,1.2365
051,-7.7862,-3.7861,4.0000,-7.5579,-3.6939,3.8640,-6.2052,-1.1167,5.0885,C1=C(C(=O)C=C(C1=O)[SiH3])[SiH3],0.8083,1.4995
052,-7.7149,-3.7965,3.9184,-7.5881,-3.7241,3.8640,-6.2408,-1.2068,5.0340,C1(=C(C(=O)C=CC1=O)[SiH3])[SiH3],0.8725,1.3925
