name,pz_C2_pop,px_O_pop,NBO_C_diazo,NBO_N1,NBO_N2,NBO_C_carbonyl,NBO_O,HOMO,ΔG,ΔG_fromAdd,adduct,ΔG-ΔG_O,ΔG_O,ΔG_C_fromDiazo,ΔG_C,ΔG-ΔG_C,BCl3_Role,ΔΔG,Overall performance
6_3,1.28731,1.75275,-0.122,0.09300000000000001,0.106,0.499,-0.54,-8.141,32.34,33.55,-1.21,13.71,18.63,19.0,20.21,12.12,1,1.58,13.71
13_5,1.36768,1.81256,-0.16699999999999998,0.057,0.10099999999999999,0.8,-0.607,-8.058,25.38,27.99,-2.61,-3.24,28.61,8.97,11.58,13.8,1,-17.03,13.8
20_21,1.26473,1.84884,-0.09699999999999999,0.09,0.096,0.552,-0.596,-7.516,34.38,42.69,-8.31,17.02,17.36,15.38,23.69,10.69,1,6.33,17.02
15_15,1.19376,1.86041,0.07400000000000001,0.035,-0.001,0.674,-0.675,-7.228,10.96,33.15,-22.19,5.68,5.28,10.37,32.55,-21.6,1,27.28,5.68
6_21,1.30548,1.75446,-0.127,0.106,0.16399999999999998,0.494,-0.528,-7.985,34.04,33.07,0.97,14.84,19.2,20.22,20.22,13.82,1,1.02,14.84
7_10,1.28393,1.86608,-0.136,0.091,0.126,0.444,-0.5589999999999999,-7.7429999999999986,34.82,33.45,1.37,19.81,15.02,19.91,19.91,14.92,1,4.89,19.81
20_2,1.2151399999999999,1.8514,-0.08800000000000001,0.07200000000000001,0.024,0.53,-0.613,-7.513,33.63,48.06,-14.43,15.56,18.07,12.17,26.6,7.03,1,8.53,15.56
15_4,1.21631,1.8338,0.34,-0.015,0.025,0.628,-0.659,-7.763,15.87,29.54,-13.68,-1.49,17.35,10.18,23.86,-7.99,1,6.51,-1.49
10_19,1.2793,1.8768099999999999,-0.091,0.08900000000000001,0.094,0.519,-0.614,-7.316,27.35,40.24,-12.89,10.46,16.89,12.22,25.11,2.24,1,8.22,10.46
1_10,1.27834,1.7191299999999998,-0.14400000000000002,0.096,0.08199999999999999,0.368,-0.598,-7.445,33.75,50.07,-16.31,14.58,19.18,11.47,27.79,5.97,1,8.61,14.58
13_10,1.30124,1.81063,-0.153,0.099,0.086,0.8240000000000001,-0.623,-7.449,32.91,37.05,-4.13,6.42,26.49,10.15,14.28,18.63,1,-12.21,18.63
13_19,1.31423,1.82597,-0.129,0.098,0.105,0.8290000000000001,-0.624,-7.354,27.91,34.02,-6.11,6.35,21.56,10.49,16.6,11.31,1,-4.96,11.31
9_8,1.33715,1.85025,0.017,0.095,0.24,0.452,-0.48200000000000004,-9.681000000000001,35.9,31.44,4.46,-8.6,44.49,34.76,34.76,1.14,1,-9.74,1.14
15_13,1.16203,1.69313,0.221,0.021,0.021,0.647,-0.662,-7.465,15.58,30.07,-14.49,3.74,11.84,13.38,27.87,-12.29,1,16.03,3.74
21_2,1.21305,1.8601900000000002,-0.08900000000000001,0.075,0.046,0.527,-0.598,-7.8020000000000005,33.5,45.43,-11.93,12.72,20.78,13.17,25.1,8.4,1,4.32,12.72
20_19,1.2845799999999998,1.85441,-0.105,0.086,0.073,0.546,-0.6,-7.343,31.15,42.09,-10.94,14.5,16.65,13.94,24.88,6.27,1,8.23,14.5
13_20,1.29593,1.83388,-0.11599999999999999,0.092,0.08,0.825,-0.625,-6.8729999999999976,27.87,32.26,-4.39,10.39,17.48,10.71,15.1,12.77,1,-2.38,12.77
9_5,1.34427,1.85057,-0.136,0.061,0.163,0.429,-0.526,-8.502,28.6,31.32,-2.72,2.25,26.34,16.27,18.99,9.6,1,-7.35,9.6
22_17,1.28606,1.8667799999999999,-0.095,0.11,0.099,0.521,-0.612,-7.189,28.17,37.8,-9.63,17.96,10.21,9.02,18.66,9.51,1,8.45,17.96
